rule_id,rule_code,ten_rule,muc_tieu,dieu_kien_1,dieu_kien_2,dieu_kien_3,dieu_kien_4,dieu_kien_5,ket_qua,diem,muc_do,do_tin_cay,uu_tien,giai_thich,trang_thai
21,NT021,Tài tinh nhập Mộ,Tích lũy tài sản,Tài_tinh=Nhập_Mộ,,,,,Nguồn_thu=Tích_lũy,10,Trung_bình,84,21,Dễ tích góp hơn tiêu dùng,active
22,NT022,Tài tinh thông căn,Tài khí mạnh,Tài_tinh=Thông_Căn,,,,,Nguồn_thu=Tăng,18,Cao,92,22,Nền tảng tài khí vững,active
23,NT023,Tài tinh lộ Can,Cơ hội kiếm tiền,Tài_tinh=Lộ_Can,,,,,Nguồn_thu=Dễ_phát_hiện,12,Khá,87,23,Cơ hội kiếm tiền rõ ràng,active
24,NT024,Thực Thần thông căn,Thu nhập bền,Thực_Thần=Thông_Căn,,,,,Nguồn_thu=Bền_vững,16,Cao,90,24,Chuyên môn ổn định lâu dài,active
25,NT025,Thiên Tài thông căn,Đầu tư dài hạn,Thiên_Tài=Thông_Căn,,,,,Nguồn_thu=Đầu_tư,18,Cao,91,25,Đầu tư có nền tảng tốt,active
26,NT026,Chính Tài thông căn,Lương ổn định,Chính_Tài=Thông_Căn,,,,,Nguồn_thu=Lương,16,Cao,90,26,Thu nhập nghề nghiệp ổn định,active
27,NT027,Tài sinh Quan,Thăng tiến tăng lương,Tài=sinh_Quan,Chính_Quan=vượng,,,,Nguồn_thu=Thăng_chức,15,Khá,89,27,Thu nhập tăng theo chức vụ,active
28,NT028,Quan sinh Ấn sinh Thân,Tăng năng lực,Quan=sinh_Ấn,Ấn=sinh_Thân,,,,Nguồn_thu=Ổn_định,14,Khá,88,28,Cấu trúc hỗ trợ phát triển bền vững,active
29,NT029,Thực Thần sinh Thiên Tài,Kinh doanh dịch vụ,Thực_Thần=sinh_Thiên_Tài,,,,,Nguồn_thu=Dịch_vụ,18,Cao,91,29,Hợp kinh doanh dịch vụ,active
30,NT030,Thương Quan sinh Chính Tài,Bán hàng,Thương_Quan=sinh_Chính_Tài,,,,,Nguồn_thu=Bán_hàng,16,Cao,89,30,Có khả năng bán hàng tốt,active
31,NT031,Tài tinh quá yếu,Thu nhập kém,Tài_tinh=nhược,,,,,Nguồn_thu=Giảm,-15,Thấp,90,31,Nguồn thu thiếu ổn định,active
32,NT032,Tài tinh bị khắc,Mất cơ hội,Tài_tinh=bị_khắc,,,,,Nguồn_thu=Giảm,-18,Thấp,92,32,Tài khí suy giảm,active
33,NT033,Kiếp Tài đoạt Tài,Hao hụt,Kiếp_Tài=vượng,Tài_tinh=tồn_tại,,,,Nguồn_thu=Hao_hụt,-28,Rất_thấp,98,33,Dễ mất tiền hoặc bị tranh tài,active
34,NT034,Tỷ Kiên tranh Tài,Cạnh tranh,Tỷ_Kiên=vượng,Tài_tinh=tồn_tại,,,,Nguồn_thu=Giảm,-18,Thấp,90,34,Cạnh tranh làm giảm lợi nhuận,active
35,NT035,Đại Hao nhập mệnh,Hao tài,Thần_Sát=Đại_Hao,,,,,Nguồn_thu=Hao,-20,Thấp,91,35,Dễ phát sinh khoản chi lớn,active
36,NT036,Tiểu Hao nhập mệnh,Chi tiêu tăng,Thần_Sát=Tiểu_Hao,,,,,Nguồn_thu=Giảm_nhẹ,-8,Trung_bình,85,36,Nhiều khoản chi nhỏ,active
37,NT037,Phá Toái nhập mệnh,Rủi ro tài chính,Thần_Sát=Phá_Toái,,,,,Nguồn_thu=Rủi_ro,-15,Thấp,88,37,Dễ tổn thất tài sản,active
38,NT038,Tài gặp Không Vong,Thu nhập thiếu ổn định,Tài_tinh=Không_Vong,,,,,Nguồn_thu=Biến_động,-18,Thấp,89,38,Thu nhập khó duy trì lâu dài,active
39,NT039,Tài gặp Xung mạnh,Thu nhập biến động,Tài_tinh=Bị_Xung,,,,,Nguồn_thu=Biến_động,-15,Thấp,88,39,Dễ thay đổi nguồn thu,active
40,NT040,Tài gặp Hình Hại,Rủi ro hợp tác,Tài_tinh=Bị_Hình_Hại,,,,,Nguồn_thu=Rủi_ro,-16,Thấp,89,40,Dễ phát sinh tranh chấp tài chính,active

