rule_id,nhom_rule,ten_rule,do_uu_tien,dieu_kien_1,toan_tu_1,dieu_kien_2,toan_tu_2,dieu_kien_3,toan_tu_3,dieu_kien_4,ket_qua,muc_do,diem_cong,diem_tru,mo_hinh_kinh_doanh,quy_mo,vai_tro_phu_hop,khuyen_nghi,rui_ro,chu_ky_kinh_te,ngu_hanh_uu_tien,thap_than_chu_dao,ghi_chu,trang_thai
KD026,Mo_Hinh,Phù hợp dịch vụ,Cao,thuong_quan>=70,AND,,AND,,AND,,Dich_Vu,Cao,12,0,Dich_Vu,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Kinh doanh dịch vụ chuyên môn,Thap,CK006,Hoa,Thuong_Quan,Giá trị từ kỹ năng,active
KD027,Mo_Hinh,Phù hợp tư vấn,Cao,chinh_an>=70,AND,thien_an>=60,AND,,AND,,Tu_Van,Cao,12,0,Dich_Vu,Ca_Nhan,Chuyen_Gia,Bán tri thức và kinh nghiệm,Thap,CK005,Moc,Chinh_An,Thu nhập từ chuyên môn,active
KD028,Mo_Hinh,Phù hợp giáo dục,Cao,chinh_an>=80,AND,,AND,,AND,,Giao_Duc,Cao,10,0,Giao_Duc,Doanh_Nghiep_Nho,Chuyen_Gia,Đào tạo và huấn luyện,Thap,CK005,Moc,Chinh_An,Phát triển lâu dài,active
KD029,Mo_Hinh,Phù hợp công nghệ,Rat_Cao,thuong_quan>=75,AND,thuc_than>=70,AND,,AND,,Cong_Nghe,Rat_Cao,18,0,Cong_Nghe,Startup,Sang_Lap,Khởi nghiệp công nghệ,Trung_Binh,CK006,Hoa,Thuong_Quan,Tăng trưởng nhanh,active
KD030,Mo_Hinh,Phù hợp AI và phần mềm,Rat_Cao,thuong_quan>=80,AND,dung_than=Hoa,AND,,AND,,AI_Phan_Mem,Rat_Cao,20,0,Cong_Nghe,Startup,Sang_Lap,Tập trung AI và phần mềm,Trung_Binh,CK006,Hoa,Thuong_Quan,Ngành tăng trưởng mạnh,active
KD031,Mo_Hinh,Phù hợp thương mại điện tử,Cao,thuong_quan>=65,AND,thien_tai>=65,AND,,AND,,Thuong_Mai_Dien_Tu,Cao,14,0,Thuong_Mai,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Khai thác kênh online,Trung_Binh,CK006,Hoa,Thuong_Quan,Bán hàng đa nền tảng,active
KD032,Mo_Hinh,Phù hợp logistics,Cao,chinh_quan>=70,AND,thien_tai>=60,AND,,AND,,Logistics,Cao,12,0,Logistics,Doanh_Nghiep_Vua,Quan_Ly,Đầu tư chuỗi cung ứng,Trung_Binh,CK005,Kim,Chinh_Quan,Quản trị tốt,active
KD033,Mo_Hinh,Phù hợp tài chính,Cao,thien_tai>=75,AND,chinh_quan>=60,AND,,AND,,Tai_Chinh,Cao,15,0,Tai_Chinh,Doanh_Nghiep_Vua,Nha_Dau_Tu,Đầu tư tài chính chuyên nghiệp,Trung_Binh,CK006,Kim,Thien_Tai,Dòng vốn lớn,active
KD034,Mo_Hinh,Phù hợp bất động sản,Cao,thien_tai>=75,AND,dung_than=Tho,AND,,AND,,Bat_Dong_San,Cao,16,0,Bat_Dong_San,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Đầu tư bất động sản,Trung_Binh,CK005,Tho,Thien_Tai,Đầu tư trung dài hạn,active
KD035,Mo_Hinh,Phù hợp nhượng quyền,Cao,chinh_tai>=70,AND,chinh_quan>=60,AND,,AND,,Nhuong_Quyen,Cao,12,0,Dich_Vu,Doanh_Nghiep_Nho,Quan_Ly,Mở rộng bằng franchise,Thap,CK005,Tho,Chinh_Tai,Mô hình chuẩn hóa,active
KD036,Mo_Hinh,Phù hợp doanh nghiệp gia đình,Trung_Binh,ty_kien>=65,AND,chinh_tai>=60,AND,,AND,,Gia_Dinh,Trung_Binh,8,2,Da_Nganh,Doanh_Nghiep_Nho,Dong_Sang_Lap,Khai thác nguồn lực gia đình,Trung_Binh,CK005,Tho,Ty_Kien,Cần phân quyền rõ ràng,active
KD037,Mo_Hinh,Phù hợp Startup,Rat_Cao,thuong_quan>=80,AND,than_vuong=True,AND,,AND,,Startup,Rat_Cao,18,0,Cong_Nghe,Startup,Sang_Lap,Khởi nghiệp đổi mới sáng tạo,Cao,CK006,Hoa,Thuong_Quan,Tăng trưởng nhanh nhưng rủi ro cao,active
KD038,Mo_Hinh,Phù hợp góp vốn,Cao,than_nhuoc=True,AND,thien_tai>=70,AND,,AND,,Gop_Von,Cao,10,2,Dau_Tu,Ca_Nhan,Nha_Dau_Tu,Nên góp vốn thay vì trực tiếp điều hành,Thap,CK005,Kim,Thien_Tai,Tận dụng đối tác mạnh,active
KD039,Mo_Hinh,Phù hợp kinh doanh quốc tế,Cao,thien_tai>=80,AND,thuong_quan>=70,AND,,AND,,Quoc_Te,Rat_Cao,18,0,Thuong_Mai,Doanh_Nghiep_Lon,CEO,Phát triển xuất nhập khẩu,Trung_Binh,CK006,Kim,Thien_Tai,Có khả năng mở rộng quốc tế,active
KD040,Mo_Hinh,Phù hợp tập đoàn,Rat_Cao,than_vuong=True,AND,thien_tai>=80,AND,chinh_quan>=70,AND,thuc_than>=70,Tap_Doan,Rat_Cao,25,0,Da_Nganh,Tap_Doan,CEO,Xây dựng hệ sinh thái doanh nghiệp,Trung_Binh,CK006,Hoa,Thien_Tai,Rule mô hình kinh doanh cao nhất,active
KD041,Quan_Tri,Phù hợp làm CEO,Rat_Cao,chinh_quan>=80,AND,than_vuong=True,AND,,AND,,CEO,Rat_Cao,20,0,Da_Nganh,Doanh_Nghiep_Lon,CEO,Nên trực tiếp điều hành doanh nghiệp,Trung_Binh,CK006,Kim,Chinh_Quan,Tố chất lãnh đạo mạnh,active
KD042,Quan_Tri,Phù hợp làm Nhà sáng lập,Cao,thuong_quan>=80,AND,thien_tai>=70,AND,,AND,,Sang_Lap,Cao,18,0,Cong_Nghe,Startup,Sang_Lap,Khởi nghiệp bằng ý tưởng mới,Cao,CK006,Hoa,Thuong_Quan,Sáng tạo và dám đổi mới,active
KD043,Quan_Tri,Phù hợp Đồng sáng lập,Cao,ty_kien>=70,AND,than_vuong=True,AND,,AND,,Dong_Sang_Lap,Cao,14,0,Da_Nganh,Doanh_Nghiep_Nho,Dong_Sang_Lap,Hợp tác cùng đối tác mạnh,Trung_Binh,CK005,Tho,Ty_Kien,Khả năng phối hợp tốt,active
KD044,Quan_Tri,Phù hợp Giám đốc điều hành,Cao,chinh_quan>=75,AND,chinh_an>=70,AND,,AND,,Dieu_Hanh,Cao,15,0,Dich_Vu,Doanh_Nghiep_Vua,Dieu_Hanh,Tập trung vận hành doanh nghiệp,Thap,CK005,Kim,Chinh_Quan,Giỏi tổ chức,active
KD045,Quan_Tri,Phù hợp Giám đốc tài chính,Cao,chinh_tai>=80,AND,chinh_quan>=60,AND,,AND,,Giam_Doc_Tai_Chinh,Cao,14,0,Tai_Chinh,Doanh_Nghiep_Vua,Quan_Ly,Quản trị dòng tiền doanh nghiệp,Thap,CK005,Kim,Chinh_Tai,Tư duy tài chính tốt,active
KD046,Quan_Tri,Phù hợp Giám đốc kinh doanh,Cao,thien_tai>=80,AND,thuong_quan>=70,AND,,AND,,Giam_Doc_Kinh_Doanh,Cao,16,0,Thuong_Mai,Doanh_Nghiep_Vua,Dieu_Hanh,Phụ trách tăng trưởng doanh thu,Trung_Binh,CK006,Hoa,Thien_Tai,Khả năng bán hàng mạnh,active
KD047,Quan_Tri,Phù hợp Quản lý vận hành,Cao,chinh_quan>=70,AND,thuc_than>=60,AND,,AND,,Quan_Ly_Van_Hanh,Cao,12,0,San_Xuat,Doanh_Nghiep_Vua,Quan_Ly,Quản trị quy trình,Thap,CK005,Tho,Chinh_Quan,Hệ thống ổn định,active
KD048,Quan_Tri,Phù hợp Chuyên gia độc lập,Cao,thien_an>=80,AND,chinh_an>=70,AND,,AND,,Chuyen_Gia,Cao,12,0,Dich_Vu,Ca_Nhan,Chuyen_Gia,Bán chuyên môn thay vì mở công ty,Thap,CK005,Moc,Thien_An,Giá trị từ tri thức,active
KD049,Quan_Tri,Phù hợp Nhà đầu tư,Cao,thien_tai>=80,AND,than_nhuoc=True,AND,,AND,,Nha_Dau_Tu,Cao,14,0,Dau_Tu,Ca_Nhan,Nha_Dau_Tu,Tập trung đầu tư vốn,Trung_Binh,CK006,Kim,Thien_Tai,Không cần trực tiếp điều hành,active
KD050,Quan_Tri,Phù hợp Chủ doanh nghiệp,Rat_Cao,than_vuong=True,AND,thien_tai>=75,AND,chinh_quan>=60,AND,,Chu_Doanh_Nghiep,Rat_Cao,20,0,Da_Nganh,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Sở hữu và điều hành doanh nghiệp,Trung_Binh,CK006,Hoa,Thien_Tai,Có tố chất doanh chủ,active
KD051,Quan_Tri,Nên phân quyền,Cao,kiep_tai>=70,AND,,AND,,AND,,Phan_Quyen,Cao,8,0,Da_Nganh,Doanh_Nghiep_Vua,CEO,Xây dựng đội ngũ quản lý,Thap,CK005,Tho,Kiep_Tai,Không nên ôm việc,active
KD052,Quan_Tri,Nên quản trị theo hệ thống,Cao,chinh_an>=70,AND,chinh_quan>=70,AND,,AND,,Quan_Tri_He_Thong,Cao,10,0,Da_Nganh,Doanh_Nghiep_Vua,Quan_Ly,Xây dựng SOP và KPI,Thap,CK005,Kim,Chinh_An,Doanh nghiệp phát triển bền vững,active
KD053,Quan_Tri,Nên quản trị theo dữ liệu,Cao,thuong_quan>=70,AND,chinh_an>=60,AND,,AND,,Quan_Tri_Du_Lieu,Cao,10,0,Cong_Nghe,Doanh_Nghiep_Vua,CEO,Ra quyết định bằng dữ liệu,Thap,CK006,Hoa,Thuong_Quan,Phù hợp chuyển đổi số,active
KD054,Quan_Tri,Nên xây dựng thương hiệu,Cao,thuong_quan>=80,AND,,AND,,AND,,Xay_Dung_Thuong_Hieu,Cao,12,0,Dich_Vu,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Đầu tư marketing dài hạn,Trung_Binh,CK006,Hoa,Thuong_Quan,Thương hiệu tạo giá trị,active
KD055,Quan_Tri,Nên xây đội ngũ bán hàng,Cao,thien_tai>=70,AND,,AND,,AND,,Xay_Dung_Sales,Cao,10,0,Thuong_Mai,Doanh_Nghiep_Nho,Dieu_Hanh,Đầu tư đội ngũ kinh doanh,Thap,CK005,Hoa,Thien_Tai,Tăng trưởng doanh thu,active
KD056,Quan_Tri,Nên tập trung sản phẩm,Cao,thuc_than>=80,AND,,AND,,AND,,Tap_Trung_San_Pham,Cao,12,0,San_Xuat,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Sản phẩm là lợi thế cạnh tranh,Thap,CK005,Moc,Thuc_Than,Ưu tiên chất lượng,active
KD057,Quan_Tri,Nên thuê CEO,Trung_Binh,than_nhuoc=True,AND,thien_tai>=70,AND,,AND,,Thue_CEO,Trung_Binh,6,2,Da_Nganh,Doanh_Nghiep_Lon,Nha_Dau_Tu,Tập trung sở hữu vốn,Thap,CK005,Kim,Thien_Tai,Tách sở hữu và điều hành,active
KD058,Quan_Tri,Nên phát triển đối tác,Cao,ty_kien>=70,AND,thien_tai>=60,AND,,AND,,Phat_Trien_Doi_Tac,Cao,10,0,Da_Nganh,Doanh_Nghiep_Vua,Dong_Sang_Lap,Xây dựng hệ sinh thái hợp tác,Trung_Binh,CK006,Tho,Ty_Kien,Mở rộng nguồn lực,active
KD059,Quan_Tri,Nên quản trị tài chính chặt,Cao,chinh_tai>=80,AND,,AND,,AND,,Quan_Tri_Tai_Chinh,Cao,10,0,Da_Nganh,Doanh_Nghiep_Vua,Quan_Ly,Kiểm soát dòng tiền và chi phí,Thap,CK005,Kim,Chinh_Tai,Giảm thất thoát vốn,active
KD060,Quan_Tri,Mô hình điều hành tối ưu,Rat_Cao,than_vuong=True,AND,chinh_quan>=70,AND,thien_tai>=70,AND,thuc_than>=70,Dieu_Hanh_Toan_Dien,Rat_Cao,25,0,Da_Nganh,Tap_Doan,CEO,Có thể xây dựng doanh nghiệp quy mô lớn,Trung_Binh,CK006,Hoa,Chinh_Quan,Rule điều hành cấp cao,active
KD061,Mo_Rong,Đại vận hỗ trợ mở rộng,Rat_Cao,dai_van_ho_tro=True,AND,than_vuong=True,AND,,AND,,Mo_Rong_Doanh_Nghiep,Rat_Cao,18,0,Da_Nganh,Doanh_Nghiep_Vua,CEO,Nên mở rộng quy mô trong đại vận tốt,Thap,CK006,Hoa,Thien_Tai,Thời cơ phát triển mạnh,active
KD062,Mo_Rong,Đại vận bất lợi,Trung_Binh,dai_van_ho_tro=False,AND,,AND,,AND,,Giu_On_Dinh,Trung_Binh,0,12,Da_Nganh,Doanh_Nghiep_Nho,Quan_Ly,Tập trung giữ ổn định doanh nghiệp,Cao,CK004,Kim,Chinh_Tai,Hạn chế mở rộng,active
KD063,Mo_Rong,Lưu niên thuận lợi,Cao,luu_nien_cat=True,AND,,AND,,AND,,Tang_Toc_Kinh_Doanh,Cao,12,0,Da_Nganh,Doanh_Nghiep_Vua,CEO,Đẩy mạnh doanh số và đầu tư,Thap,CK006,Hoa,Thien_Tai,Tận dụng vận năm tốt,active
KD064,Mo_Rong,Lưu niên bất lợi,Cao,luu_nien_hung=True,AND,,AND,,AND,,Phong_Thu,Cao,0,10,Da_Nganh,Doanh_Nghiep_Nho,Quan_Ly,Giảm đầu tư mạo hiểm,Cao,CK004,Kim,Chinh_Tai,Ưu tiên bảo toàn vốn,active
KD065,Mo_Rong,Chu kỳ tăng trưởng,Rat_Cao,chu_ky_kinh_te=CK006,AND,,AND,,AND,,Mo_Rong_Thi_Truong,Rat_Cao,16,0,Da_Nganh,Doanh_Nghiep_Lon,CEO,Tăng tốc mở rộng thị phần,Trung_Binh,CK006,Hoa,Thien_Tai,Khai thác giai đoạn tăng trưởng,active
KD066,Mo_Rong,Chu kỳ suy giảm,Cao,chu_ky_kinh_te=CK004,AND,,AND,,AND,,Bao_Toan_Von,Cao,0,12,Da_Nganh,Doanh_Nghiep_Nho,Quan_Ly,Tập trung dòng tiền và chi phí,Cao,CK004,Kim,Chinh_Tai,Ưu tiên an toàn tài chính,active
KD067,Mo_Rong,Mở thêm chi nhánh,Cao,thien_tai>=75,AND,chinh_quan>=70,AND,,AND,,Mo_Chi_Nhanh,Cao,15,0,Thuong_Mai,Doanh_Nghiep_Lon,CEO,Mở rộng hệ thống chi nhánh,Trung_Binh,CK006,Hoa,Thien_Tai,Quản trị đồng bộ,active
KD068,Mo_Rong,Mở rộng toàn quốc,Cao,than_vuong=True,AND,thien_tai>=80,AND,,AND,,Mo_Rong_Toan_Quoc,Cao,18,0,Da_Nganh,Doanh_Nghiep_Lon,CEO,Phát triển mạng lưới toàn quốc,Trung_Binh,CK006,Hoa,Thien_Tai,Cần đội ngũ quản trị mạnh,active
KD069,Mo_Rong,Mở rộng quốc tế,Rat_Cao,thien_tai>=85,AND,thuong_quan>=75,AND,,AND,,Quoc_Te_Hoa,Rat_Cao,20,0,Thuong_Mai,Tap_Doan,CEO,Tham gia thị trường quốc tế,Trung_Binh,CK006,Kim,Thien_Tai,Phù hợp xuất nhập khẩu,active
KD070,Mo_Rong,Đầu tư chuyển đổi số,Cao,thuong_quan>=70,AND,chinh_an>=60,AND,,AND,,Chuyen_Doi_So,Cao,12,0,Cong_Nghe,Doanh_Nghiep_Vua,Dieu_Hanh,Đầu tư ERP CRM AI,Thap,CK006,Hoa,Thuong_Quan,Nâng cao năng lực cạnh tranh,active
KD071,Mo_Rong,Đầu tư thương hiệu,Cao,thuong_quan>=80,AND,,AND,,AND,,Dau_Tu_Thuong_Hieu,Cao,10,0,Dich_Vu,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Tăng giá trị thương hiệu,Thap,CK006,Hoa,Thuong_Quan,Chiến lược dài hạn,active
KD072,Mo_Rong,Tăng vốn điều lệ,Cao,chinh_tai>=75,AND,than_vuong=True,AND,,AND,,Tang_Von,Cao,12,0,Da_Nganh,Doanh_Nghiep_Lon,CEO,Tăng năng lực tài chính,Trung_Binh,CK005,Kim,Chinh_Tai,Hỗ trợ mở rộng đầu tư,active
KD073,Mo_Rong,Gọi vốn đầu tư,Cao,thuong_quan>=75,AND,thien_tai>=70,AND,,AND,,Goi_Von,Cao,15,0,Cong_Nghe,Startup,Sang_Lap,Kêu gọi quỹ đầu tư chiến lược,Cao,CK006,Hoa,Thien_Tai,Ưu tiên khi tăng trưởng nhanh,active
KD074,Mo_Rong,Sáp nhập doanh nghiệp,Cao,chinh_quan>=75,AND,thien_tai>=75,AND,,AND,,M_A,Cao,16,0,Da_Nganh,Doanh_Nghiep_Lon,CEO,Mua bán và sáp nhập doanh nghiệp,Trung_Binh,CK006,Kim,Chinh_Quan,Tăng trưởng bằng M&A,active
KD075,Mo_Rong,Niêm yết doanh nghiệp,Rat_Cao,chinh_tai>=80,AND,chinh_quan>=80,AND,,AND,,IPO,Rat_Cao,20,0,Da_Nganh,Tap_Doan,CEO,Chuẩn bị IPO khi đủ điều kiện,Trung_Binh,CK006,Kim,Chinh_Quan,Yêu cầu quản trị minh bạch,active
KD076,Mo_Rong,Tái cấu trúc doanh nghiệp,Cao,luu_nien_hung=True,AND,than_vuong=True,AND,,AND,,Tai_Cau_Truc,Cao,10,2,Da_Nganh,Doanh_Nghiep_Vua,CEO,Cơ cấu lại bộ máy và tài sản,Trung_Binh,CK004,Tho,Chinh_Quan,Chuẩn bị chu kỳ mới,active
KD077,Mo_Rong,Thoái vốn khỏi lĩnh vực yếu,Cao,pha_tai=True,AND,,AND,,AND,,Thoai_Von,Cao,0,8,Da_Nganh,Doanh_Nghiep_Vua,Nha_Dau_Tu,Cắt giảm dự án kém hiệu quả,Thap,CK004,Kim,Chinh_Tai,Tối ưu danh mục đầu tư,active
KD078,Mo_Rong,Đa dạng hóa ngành nghề,Cao,than_vuong=True,AND,thien_tai>=75,AND,,AND,,Da_Dang_Hoa,Cao,14,0,Da_Nganh,Doanh_Nghiep_Lon,Chu_Doanh_Nghiep,Giảm phụ thuộc một nguồn thu,Trung_Binh,CK006,Hoa,Thien_Tai,Chiến lược phân tán rủi ro,active
KD079,Mo_Rong,Xây dựng hệ sinh thái,Rat_Cao,thien_tai>=80,AND,chinh_quan>=75,AND,thuc_than>=70,AND,,He_Sinh_Thai,Rat_Cao,20,0,Da_Nganh,Tap_Doan,CEO,Liên kết nhiều lĩnh vực kinh doanh,Trung_Binh,CK006,Hoa,Thien_Tai,Hình thành tập đoàn đa ngành,active
KD080,Mo_Rong,Chiến lược doanh nghiệp tối ưu,Rat_Cao,than_vuong=True,AND,thien_tai>=80,AND,chinh_quan>=75,AND,dai_van_ho_tro=True,Doanh_Nghiep_Ben_Vung,Rat_Cao,30,0,Da_Nganh,Tap_Doan,CEO,Xây dựng doanh nghiệp phát triển bền vững,Thap,CK006,Hoa,Thien_Tai,Rule tổng hợp ưu tiên cao nhất của Module 11,active
