rule_id,priority,score,conditions,useful_god,favorable_gods,unfavorable_gods,reason,description,reference,status,enabled
str_cold_pig_strong_water,98,0.97,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thủy""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Hợi""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""cold""}]",Bính,"[""Bính"", ""Đinh"", ""Giáp"", ""Ất""]","[""Mậu"", ""Kỷ"", ""Canh"", ""Tân"", ""Nhâm"", ""Quý""]",Nhâm Thủy vượng sinh tháng Hợi hàn cần Hỏa điều hậu và hao thân,Hỏa làm trọng tâm; Mộc tiết Thủy và sinh Hỏa; Thổ lạnh chưa thể làm Dụng trước khi được Hỏa sưởi ấm,BTE-UG-V2,active,true
str_warm_tiger_strong_fire,98,0.97,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Hỏa""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Dần""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""warm""}]",Nhâm,"[""Nhâm"", ""Quý"", ""Canh"", ""Tân"", ""Mậu"", ""Kỷ""]","[""Bính"", ""Đinh"", ""Giáp"", ""Ất""]",Bính Hỏa vượng sinh tháng Dần được Mộc sinh trợ cần Thủy chế Hỏa,Thủy làm trọng tâm; Kim sinh Thủy và chế Mộc; Thổ chỉ làm trợ lực để tiết Hỏa sinh Kim,BTE-UG-V2,active,true
str_balanced_hot_snake_water,98,0.97,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""balanced""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thủy""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Tỵ""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""hot""}, {""field"": ""main_pattern"", ""operator"": ""in"", ""value"": [""chinh_tai"", ""thien_tai""]}]",Nhâm,"[""Nhâm"", ""Quý"", ""Canh"", ""Tân""]","[""Bính"", ""Đinh"", ""Mậu"", ""Kỷ"", ""Giáp"", ""Ất""]",Quý Thủy sinh tháng Tỵ khí nóng gặp Hỏa Thổ nặng cần Thủy nhuận hạ,Thủy làm trọng tâm; Kim sinh Thủy làm trợ lực; tránh Hỏa Thổ tăng nhiệt áp lực và Mộc làm tiết thêm Thủy,BTE-UG-V2,active,true
str_cold_ox_metal,94,0.93,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Kim""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Sửu""}]",Đinh,"[""Đinh"", ""Bính"", ""Giáp"", ""Ất""]","[""Mậu"", ""Kỷ"", ""Canh"", ""Tân""]",Kim vượng sinh tháng Sửu cần Hỏa ôn luyện,Mộc sinh Hỏa làm trợ lực; tránh Thổ Kim tăng thêm hàn trọng,BTE-UG-V2,active,true
str_hot_strong_earth,95,0.94,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thổ""}, {""field"": ""temperature_type"", ""operator"": ""=="", ""value"": ""hot""}, {""field"": ""officer_elements"", ""operator"": ""=="", ""value"": []}]",Nhâm,"[""Nhâm"", ""Canh"", ""Tân""]","[""Bính"", ""Đinh"", ""Mậu"", ""Kỷ""]",Thổ vượng táo nhiệt không có Quan Sát hữu dụng cần Thủy nhuận hạ,Kim tiết Thổ và sinh Thủy; tránh Hỏa Thổ tăng thêm khô nóng,BTE-UG-V2,active,true
str_strong_earth_killing,90,0.90,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thổ""}, {""field"": ""officer_elements"", ""operator"": ""contains"", ""value"": ""Thất Sát""}, {""field"": ""officer_elements"", ""operator"": ""not_contains"", ""value"": ""Chính Quan""}]",Thất Sát,"[""Thất Sát"", ""Chính Tài"", ""Thiên Tài""]","[""Tỷ Kiên"", ""Kiếp Tài"", ""Chính Ấn"", ""Thiên Ấn""]",Thổ vượng chỉ có Thất Sát hữu dụng cần Mộc chế thân,Thủy hao Thổ và sinh Mộc có điều kiện; tránh Thổ Hỏa trợ thân,BTE-UG-V2,active,true
str_peak_rooster_metal,94,0.93,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Kim""}, {""field"": ""month_branch"", ""operator"": ""=="", ""value"": ""Dậu""}]",Đinh,"[""Đinh"", ""Bính"", ""Giáp"", ""Ất"", ""Nhâm"", ""Quý""]","[""Mậu"", ""Kỷ"", ""Canh"", ""Tân""]",Kim vượng đắc lệnh tháng Dậu cần Hỏa luyện Kim,Mộc sinh Hỏa và Thủy tiết Kim chỉ dùng có điều kiện; tránh Thổ Kim tăng thế,BTE-UG-V2,active,true
str_full_fire,99,0.96,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Hỏa""}, {""field"": ""self_element_full_combination"", ""operator"": ""=="", ""value"": true}]",Nhâm,"[""Nhâm"", ""Canh"", ""Tân"", ""Mậu"", ""Kỷ""]","[""Bính"", ""Đinh"", ""Giáp"", ""Ất""]",Hỏa cục trợ thân đã thành thế cần Thủy chế hóa,Ưu tiên Thủy; Kim cần được bảo hộ và Thổ dùng phụ để tiết Hỏa,BTE-UG-V2,active,true
str_full_wood,99,0.96,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Mộc""}, {""field"": ""self_element_full_combination"", ""operator"": ""=="", ""value"": true}]",Canh,"[""Canh"", ""Tân"", ""Bính"", ""Đinh"", ""Mậu"", ""Kỷ""]","[""Giáp"", ""Ất"", ""Nhâm"", ""Quý""]",Mộc cục trợ thân đã thành thế cần Kim chế hóa,Ưu tiên Kim; Hỏa dùng tiết và Thổ dùng làm Tài phụ,BTE-UG-V2,active,true
str_full_metal,99,0.96,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Kim""}, {""field"": ""self_element_full_combination"", ""operator"": ""=="", ""value"": true}]",Bính,"[""Bính"", ""Đinh"", ""Nhâm"", ""Quý"", ""Giáp"", ""Ất""]","[""Canh"", ""Tân"", ""Mậu"", ""Kỷ""]",Kim cục trợ thân đã thành thế cần Hỏa chế luyện,Ưu tiên Hỏa; Thủy dùng tiết và Mộc dùng làm Tài phụ,BTE-UG-V2,active,true
str_full_water,99,0.96,"[{""field"": ""strength_level"", ""operator"": ""=="", ""value"": ""strong""}, {""field"": ""day_master_element"", ""operator"": ""=="", ""value"": ""Thủy""}, {""field"": ""self_element_full_combination"", ""operator"": ""=="", ""value"": true}]",Mậu,"[""Mậu"", ""Kỷ"", ""Giáp"", ""Ất"", ""Bính"", ""Đinh""]","[""Nhâm"", ""Quý"", ""Canh"", ""Tân""]",Thủy cục trợ thân đã thành thế cần Thổ chế hóa,Ưu tiên Thổ; Mộc dùng tiết và Hỏa dùng làm Tài phụ,BTE-UG-V2,active,true
