rule_id,rule_code,rule_group,ten_rule,muc_tieu,dieu_kien_1,dieu_kien_2,dieu_kien_3,dieu_kien_4,dieu_kien_5,ket_qua,diem,muc_do,do_tin_cay,uu_tien,giai_thich,trang_thai
27,TL027,TICH_LUY,Thực Thần ổn định,Tăng thu giữ được,Thực_Thần=Vượng,Tài=Vượng,,,,Khả_năng_tích_lũy=Cao,15,Cao,90,27,Thu nhập đều và giữ được tiền,active
28,TL028,TICH_LUY,Quan Ấn tương sinh,Nền tài chính ổn định,Quan=Sinh_Ấn,Ấn=Sinh_Thân,,,,Khả_năng_tích_lũy=Cao,16,Cao,91,28,Nền tảng sự nghiệp hỗ trợ tích lũy,active
29,TL029,TICH_LUY,Thân vượng tài ổn,Tăng tài sản,Thân=Vượng,Tài=Ổn_Định,,,,Khả_năng_tích_lũy=Cao,18,Cao,93,29,Đủ năng lực quản lý tài sản,active
30,TL030,TICH_LUY,Cách cục thuần Tài,Tích lũy lớn,Cách_Cục=Thuần_Tài,,,,,Khả_năng_tích_lũy=Rất_Cao,22,Rất_Cao,97,30,Cách cục thiên về tài sản,active
31,TL031,QUAN_LY,Dòng tiền cân bằng,Quản lý tài chính,Thu>Chi,,,,,Quản_lý_tài_chính=Tốt,14,Khá,89,31,Dòng tiền ổn định,active
32,TL032,QUAN_LY,Thu nhập định kỳ,Tài chính bền,Lương=Ổn_Định,,,,,Quản_lý_tài_chính=Cao,15,Cao,90,32,Có khả năng lập kế hoạch tài chính,active
33,TL033,QUAN_LY,Tài có kế hoạch,Kiểm soát chi tiêu,Tài=Quản_Lý,,,,,Quản_lý_tài_chính=Cao,16,Cao,91,33,Chi tiêu hợp lý,active
34,TL034,QUAN_LY,Quan tinh mạnh,Kỷ luật tài chính,Quan=Vượng,,,,,Quản_lý_tài_chính=Cao,15,Cao,90,34,Kỷ luật trong quản lý tiền bạc,active
35,TL035,QUAN_LY,Ấn tinh mạnh,Tư duy dài hạn,Ấn=Vượng,,,,,Quản_lý_tài_chính=Khá,12,Khá,88,35,Có xu hướng tích lũy thay vì tiêu dùng,active
36,TL036,QUAN_LY,Không gặp Đại Hao,Hạn chế thất thoát,Đại_Hao=Không,,,,,Quản_lý_tài_chính=Cao,15,Cao,91,36,Ít phát sinh hao hụt lớn,active
37,TL037,QUAN_LY,Không gặp Tiểu Hao,Kiểm soát chi nhỏ,Tiểu_Hao=Không,,,,,Quản_lý_tài_chính=Khá,10,Trung_Bình,86,37,Hạn chế chi phí phát sinh,active
38,TL038,QUAN_LY,Tài không bị xung,Duy trì tài sản,Tài=Không_Bị_Xung,,,,,Quản_lý_tài_chính=Cao,14,Cao,89,38,Tài sản ổn định,active
39,TL039,QUAN_LY,Quan Tài cân đối,Cân bằng tài chính,Quan=Tài_Cân_Bằng,,,,,Quản_lý_tài_chính=Cao,16,Cao,92,39,Cân bằng giữa kiếm tiền và giữ tiền,active
40,TL040,QUAN_LY,Có kho tài mạnh,Quản trị tài sản,Tài_Khố=Mạnh,,,,,Quản_lý_tài_chính=Rất_Cao,18,Cao,94,40,Có khả năng tích lũy tài sản lớn,active
41,TL041,TAI_SAN,Mua bất động sản thuận lợi,Hình thành tài sản,Tài=vượng,Thổ=lợi,Đại_Vận=Trợ_Tài,,,Khả_năng_sở_hữu_BĐS=Cao,18,Cao,92,41,Có điều kiện tạo lập bất động sản,active
42,TL042,TAI_SAN,Tích lũy nhà đất,Tài sản dài hạn,Chính_Tài=vượng,Tài_Khố=vững,,,,Khả_năng_tích_lũy_BĐS=Cao,20,Cao,94,42,Dễ hình thành tài sản cố định,active
43,TL043,TAI_SAN,Tích lũy vàng,Giữ giá trị,Tài=ổn_định,Kim=lợi,,,,Khả_năng_tích_lũy_Vàng=Khá,12,Khá,88,43,Ưu tiên tài sản phòng thủ,active
44,TL044,TAI_SAN,Tích lũy vốn,Tăng vốn dài hạn,Thu>Chi,Tài=vượng,,,,Khả_năng_tích_lũy_Vốn=Cao,16,Cao,90,44,Có khả năng tăng vốn đều,active
45,TL045,TAI_SAN,Tài sản tăng theo chu kỳ,Tăng trưởng tài sản,Đại_Vận=Trợ_Tài,Lưu_Niên=Thuận,,,,Khả_năng_tăng_Tài_Sản=Cao,17,Cao,91,45,Tài sản tăng theo vận tốt,active
46,TL046,TAI_SAN,Tích lũy nhiều loại tài sản,Đa dạng hóa,Song_Tài=true,Tài_Khố=vững,,,,Khả_năng_Đa_Dạng_Hóa=Cao,18,Cao,92,46,Giảm rủi ro nhờ đa dạng tài sản,active
47,TL047,TAI_SAN,Sở hữu tài sản kinh doanh,Tài sản sinh lời,Thiên_Tài=vượng,Thực_Thần=vượng,,,,Khả_năng_Tài_Sản_Sinh_Lời=Cao,18,Cao,91,47,Tài sản tạo dòng tiền,active
48,TL048,TAI_SAN,Tài sản truyền đời,Bảo toàn tài sản,Tài=vượng,Quan=vượng,Ấn=vượng,,,Khả_năng_Bảo_Toàn=Cao,22,Rất_Cao,96,48,Có khả năng giữ tài sản qua nhiều thế hệ,active
49,TL049,TAI_SAN,Tài sản được bảo hộ,Ổn định pháp lý,Quan=vượng,Tài=vượng,,,,Khả_năng_Bảo_Hộ=Cao,15,Cao,89,49,Giảm rủi ro pháp lý với tài sản,active
50,TL050,TAI_SAN,Tài sản tăng bền,Tăng trưởng dài hạn,Tài=thông_căn,Đại_Vận=Thuận,,,,Khả_năng_Tăng_Bền=Cao,18,Cao,92,50,Tăng trưởng ổn định,active
51,TL051,HAO_HUT,Kiếp Tài vượng,Khó tích lũy,Kiếp_Tài=vượng,,,,,Khả_năng_tích_lũy=Giảm,-18,Thấp,94,51,Dễ thất thoát tiền bạc,active
52,TL052,HAO_HUT,Tỷ Kiên tranh tài,Hao hụt,Tỷ_Kiên=vượng,Tài=vượng,,,,Khả_năng_tích_lũy=Giảm,-16,Thấp,91,52,Cạnh tranh làm giảm tài sản,active
53,TL053,HAO_HUT,Đại Hao nhập mệnh,Hao tài lớn,Đại_Hao=true,,,,,Khả_năng_tích_lũy=Rất_Thấp,-22,Rất_Thấp,96,53,Dễ phát sinh khoản chi lớn,active
54,TL054,HAO_HUT,Tiểu Hao nhiều năm,Chi tiêu kéo dài,Tiểu_Hao=true,,,,,Khả_năng_tích_lũy=Giảm,-10,Trung_Bình,87,54,Nhiều khoản chi nhỏ tích lũy thành lớn,active
55,TL055,HAO_HUT,Phá Toái,Tổn thất tài sản,Phá_Toái=true,,,,,Khả_năng_tích_lũy=Giảm,-14,Thấp,89,55,Dễ mất mát tài sản,active
56,TL056,HAO_HUT,Tài bị xung,Biến động tài sản,Tài=Bị_Xung,,,,,Khả_năng_tích_lũy=Giảm,-16,Thấp,90,56,Tài sản biến động mạnh,active
57,TL057,HAO_HUT,Tài bị hình,Rủi ro,Tài=Bị_Hình,,,,,Khả_năng_tích_lũy=Giảm,-12,Trung_Bình,86,57,Dễ xảy ra tranh chấp tài sản,active
58,TL058,HAO_HUT,Tài bị hại,Hao hụt âm thầm,Tài=Bị_Hại,,,,,Khả_năng_tích_lũy=Giảm,-12,Trung_Bình,86,58,Thất thoát khó nhận biết,active
59,TL059,HAO_HUT,Tài gặp Không Vong,Tài khó tụ,Tài=Không_Vong,,,,,Khả_năng_tích_lũy=Rất_Thấp,-18,Thấp,90,59,Khó giữ tài sản lâu dài,active
60,TL060,HAO_HUT,Thân nhược gặp Tài vượng,Gánh tài quá sức,Thân=Nhược,Tài=Vượng,,,,Khả_năng_tích_lũy=Giảm,-20,Thấp,95,60,Khó quản lý và giữ tài sản,active
61,TL061,DAI_VAN,Đại vận sinh Chính Tài,Tăng tích lũy,Đại_Vận=Sinh_Chính_Tài,Thân>=Cân_Bằng,,,,Khả_năng_tích_lũy=Tăng,18,Cao,93,61,Giai đoạn thuận lợi để tích lũy tài sản,active
62,TL062,DAI_VAN,Đại vận sinh Thiên Tài,Tăng nguồn vốn,Đại_Vận=Sinh_Thiên_Tài,Thiên_Tài=Vượng,,,,Khả_năng_tích_lũy=Tăng,17,Cao,91,62,Thuận lợi mở rộng nguồn vốn,active
63,TL063,DAI_VAN,Đại vận trợ Dụng thần,Tích lũy mạnh,Đại_Vận=Trợ_Dụng_Thần,,,,,Khả_năng_tích_lũy=Rất_Cao,22,Rất_Cao,97,63,Dụng thần được trợ lực giúp tài sản tăng trưởng,active
64,TL064,DAI_VAN,Đại vận gặp Hỷ thần,Ổn định tài chính,Đại_Vận=Hỷ_Thần,,,,,Khả_năng_tích_lũy=Cao,15,Cao,90,64,Tài chính ổn định trong chu kỳ vận,active
65,TL065,DAI_VAN,Lưu niên sinh Tài,Tăng tích lũy ngắn hạn,Lưu_Niên=Sinh_Tài,,,,,Khả_năng_tích_lũy=Tăng,10,Trung_Bình,86,65,Năm thuận lợi để tích lũy thêm tài sản,active
66,TL066,DAI_VAN,Lưu niên trợ Dụng thần,Tăng hiệu quả đầu tư,Lưu_Niên=Trợ_Dụng_Thần,,,,,Khả_năng_tích_lũy=Tăng,12,Khá,88,66,Năm thuận lợi để mở rộng tài sản,active
67,TL067,DAI_VAN,Đại vận và Lưu niên cùng trợ Tài,Cực kỳ thuận lợi,Đại_Vận=Sinh_Tài,Lưu_Niên=Sinh_Tài,,,,Khả_năng_tích_lũy=Rất_Cao,25,Rất_Cao,98,67,Đồng thời gặp vận và năm tốt về tài vận,active
68,TL068,DAI_VAN,Đại vận hợp Tài cục,Tích lũy bền vững,Đại_Vận=Hợp_Tài_Cục,,,,,Khả_năng_tích_lũy=Cao,18,Cao,92,68,Hình thành cục diện tích lũy thuận lợi,active
69,TL069,DAI_VAN,Đại vận thông căn Tài,Tài sản tăng đều,Đại_Vận=Thông_Căn_Tài,,,,,Khả_năng_tích_lũy=Cao,16,Cao,90,69,Nền tài chính được củng cố,active
70,TL070,DAI_VAN,Đại vận Quan Tài tương sinh,Ổn định dài hạn,Quan=Sinh_Tài,Đại_Vận=Thuận,,,,Khả_năng_tích_lũy=Cao,18,Cao,92,70,Sự nghiệp và tài sản cùng phát triển,active
71,TL071,DAC_BIET,Tài khố mở đúng vận,Đột phá tài sản,Tài_Khố=Mở,Đại_Vận=Thuận,,,,Khả_năng_tích_lũy=Rất_Cao,24,Rất_Cao,97,71,Có khả năng tích lũy tài sản lớn,active
72,TL072,DAC_BIET,Tài tinh gặp Thiên Đức,Giảm hao hụt,Thiên_Đức=true,Tài=Vượng,,,,Khả_năng_tích_lũy=Tăng,12,Khá,88,72,Quý nhân hỗ trợ bảo toàn tài sản,active
73,TL073,DAC_BIET,Tài tinh gặp Nguyệt Đức,Ổn định tài chính,Nguyệt_Đức=true,Tài=Vượng,,,,Khả_năng_tích_lũy=Tăng,12,Khá,88,73,Hạn chế rủi ro tài chính,active
74,TL074,DAC_BIET,Tài tinh gặp Thiên Ất,Được trợ giúp,Thiên_Ất=true,Tài=Vượng,,,,Khả_năng_tích_lũy=Tăng,13,Khá,89,74,Dễ được quý nhân hỗ trợ về tài sản,active
75,TL075,DAC_BIET,Văn Xương trợ tài,Tích lũy nhờ tri thức,Văn_Xương=true,Thực_Thần=Vượng,,,,Khả_năng_tích_lũy=Cao,14,Cao,90,75,Thu nhập từ tri thức giúp tăng tài sản,active
76,TL076,DAC_BIET,Quốc Ấn trợ Quan Tài,Tăng tài sản ổn định,Quốc_Ấn=true,Quan=Vượng,,,,Khả_năng_tích_lũy=Cao,15,Cao,91,76,Địa vị hỗ trợ tích lũy tài sản,active
77,TL077,DAC_BIET,Tài khố đầy và không bị xung,Bảo toàn tài sản,Tài_Khố=Đầy,Tài=Không_Bị_Xung,,,,Khả_năng_tích_lũy=Rất_Cao,22,Rất_Cao,96,77,Có nền tảng giữ tài sản rất tốt,active
78,TL078,DAC_BIET,Nhiều nguồn thu cùng tích lũy,Đa dạng hóa tài sản,Song_Tài=true,Thu>Chi,Tài_Khố=Vững,,,Khả_năng_tích_lũy=Rất_Cao,20,Cao,94,78,Nhiều dòng tiền giúp tài sản tăng nhanh,active
79,TL079,DAC_BIET,Không có dấu hiệu phá tài,Bảo toàn lâu dài,Kiếp_Tài=Không,Đại_Hao=Không,Phá_Toái=Không,,,Khả_năng_tích_lũy=Cao,18,Cao,93,79,Ít yếu tố gây thất thoát tài sản,active
80,TL080,DAC_BIET,Tổng hợp điều kiện tích lũy tối ưu,Tích lũy tối đa,Thân=Vượng,Tài=Vượng,Dụng_Thần=Trợ_Tài,Đại_Vận=Thuận,Lưu_Niên=Thuận,Khả_năng_tích_lũy=Tối_Đa,30,Rất_Cao,99,80,Hội đủ các điều kiện lý tưởng để tích lũy tài sản,active
