id,tong_chi,tom_tat,luan_giai
23,43,Nền tảng vừa phải · tích lũy theo thời gian,Lượng ở mức trung. Cơ hội đến khi làm việc có phương pháp. Không nên kỳ vọng đột biến; ưu tiên tích lũy bền.
24,44,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
25,45,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
26,46,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
27,47,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
28,48,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
29,49,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
30,50,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
31,51,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
32,52,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
33,53,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
34,54,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
35,55,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
36,56,Tài lộc khá · hậu vận thuận,Lượng thuộc nhóm khá. Nguồn lực và quan hệ hỗ trợ tốt hơn tiền vận. Hậu vận thuận nếu giữ kỷ luật và không buông lỏng nền tảng.
37,57,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
38,58,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
39,59,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
40,60,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
41,61,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
42,62,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
43,63,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
44,64,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
45,65,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
46,66,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
47,67,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
48,68,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
49,69,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
50,70,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
51,71,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
52,72,Nền tảng vững · phúc lộc kéo dài,Lượng cao, nền tảng vững. Thuận lợi kéo dài khi dùng đúng năng lực, không chủ quan. Đây là tham chiếu truyền thống, không thay Bát Tự.
